Provinsi,Kabupaten/Kota,Persentase Penduduk Miskin (P0),Rata-rata Lama Sekolah,Pengeluaran per Kapita,Umur Harapan Hidup (UHH),Indeks Pembangunan Manusia (IPM),Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus,Rumah Tangga yang Memiliki Akses Terhadap Sanitasi Layak,Rumah Tangga yang Memiliki Akses Terhadap Sumber Air Minum Layak
PAPUA,Puncak,36.25,2.17,5583,66.13,43.87,2.83,77.75,40.34,65.39
PAPUA,Puncak Jaya,36.3,4.03,5422,65.66,49.84,2.83,77.75,40.34,65.39
PAPUA,Sarmi,13.76,9.15,6864,66.74,64.86,2.09,68.96,40.34,65.39
PAPUA,Supiori,37.7,9.09,5904,66.36,63.65,2.93,61.22,40.34,65.39
PAPUA,Tolikara,31.31,3.67,5079,66.08,50.51,2.83,77.75,40.34,65.39
PAPUA,Waropen,30.22,9.4,6919,66.68,65.67,6.64,56.98,40.34,65.39
PAPUA,Yahukimo,36.21,4.28,5101,66.31,50.25,2.83,77.75,40.34,65.39
PAPUA,Yalimo,31.68,3.19,4802,65.72,49.9,2.83,77.75,40.34,65.39
PAPUA BARAT,Fakfak,22.06,9.08,7678,68.75,69.12,6.75,63.29,73.52,81.57
PAPUA BARAT,Kaimana,15.29,8.74,8453,65.27,66.11,3.34,77.43,73.52,81.57
PAPUA BARAT,Kota Sorong,14.96,11.32,13874,71.4,78.98,5.37,68.55,73.52,81.57
PAPUA BARAT,Manokwari,19.9,8.45,12179,69.18,72.6,5.41,63.88,73.52,81.57
PAPUA BARAT,Manokwari Selatan,28.55,6.9,5691,67.84,60.68,1.06,77.4,73.52,81.57
PAPUA BARAT,Maybrat,31.14,7.19,5425,65.53,60.49,5.37,68.55,73.52,81.57
PAPUA BARAT,Pegunungan Arfak,33.71,5.34,5204,67.5,57.01,5.37,93.75,73.52,81.57
PAPUA BARAT,Raja Ampat,17.32,8.16,8187,65.12,64.65,5.37,68.55,73.52,81.57
PAPUA BARAT,Sorong,27.58,8.52,7607,66.55,66.69,5.37,68.55,73.52,81.57
PAPUA BARAT,Sorong Selatan,18.48,7.58,6342,66.72,63.08,5.37,68.55,73.52,81.57
PAPUA BARAT,Tambrauw,32.45,5.64,5084,60.68,54.63,5.37,68.55,73.52,81.57
PAPUA BARAT,Teluk Bintuni,29.73,8.35,9979,61.37,65.27,3.58,70.58,73.52,81.57
PAPUA BARAT,Teluk Wondama,30.06,7.2,8177,60.57,60.87,2.86,72.77,73.52,81.57
RIAU,Bengkalis,6.32,9.71,11857,71.5,74.38,7.18,61.97,86.99,94.2
RIAU,Indragiri Hilir,5.98,7.26,10234,68.31,67.37,1.5,63.97,56.32,88.76
RIAU,Indragiri Hulu,6.14,8.4,10472,70.48,70.46,2.53,65.98,84.63,72.86
RIAU,Kampar,7.12,9.39,11394,71.12,73.84,3.62,61.4,82.97,91.37
RIAU,Kepulauan Meranti,23.84,7.88,8246,68.09,66.52,5.5,64.84,57.03,94.62
RIAU,Kota Dumai,3.2,10.15,12249,71.25,75.26,5.38,65.45,91.44,89.96
RIAU,Kota Pekanbaru,3.06,11.93,14804,72.7,82.06,6.4,63.91,96.65,98.57
RIAU,Kuantan Singingi,8.24,8.76,10647,68.87,71.09,2.66,62.67,86.98,82.49
RIAU,Pelalawan,8.97,8.72,12163,71.53,72.93,2.73,64.3,83.77,86.09
RIAU,Rokan Hilir,6.73,8.28,9906,70.69,70.1,4.55,64.52,81.15,86.38
RIAU,Rokan Hulu,9.95,8.55,9841,70.51,70.31,3.62,64.08,90.1,91.12
RIAU,Siak,5.07,9.87,12230,71.37,74.5,6.11,65.86,93.51,91.62
SULAWESI BARAT,Majene,15.13,9.1,10152,62.16,67.84,2.19,68.05,83.26,94.59
SULAWESI BARAT,Mamasa,14.51,8,7837,71.2,67.21,2.06,85.95,64.73,35.07
SULAWESI BARAT,Mamuju,7.63,8.09,9668,68.21,68.88,3.06,70.92,74.58,82.14
SULAWESI BARAT,Mamuju Tengah,7.17,7.61,8633,68.97,66.89,1.88,63.15,83.63,78.23
SULAWESI BARAT,Polewali Mandar,16.39,7.6,8726,62.86,64.79,2.16,76.13,83.61,86.18
SULAWESI SELATAN,Bantaeng,9.07,6.81,12133,70.88,69.69,2.72,75.36,88.82,97.84
SULAWESI SELATAN,Barru,8.4,8.25,11275,69.35,71.53,5.32,62.36,96.86,97.56
SULAWESI SELATAN,Bone,10.58,7.36,9277,67.57,67.01,2.27,67.48,94.61,91.33
SULAWESI SELATAN,Bulukumba,7.39,8.01,10941,68.51,70.34,1.26,65.27,87.76,84.63
SULAWESI SELATAN,Enrekang,12.39,8.93,11183,71.17,73.39,0.58,72.05,94.76,86.6
SULAWESI SELATAN,Gowa,7.36,8.4,9812,70.7,70.99,3.26,73.16,96.18,93.18
SULAWESI SELATAN,Jeneponto,13.73,6.75,9425,66.81,65.13,2.21,75.26,83.2,97.78
SULAWESI SELATAN,Kepulauan Selayar,12.24,8.09,9446,68.81,68.35,1.49,69.93,80.84,96.39
SULAWESI SELATAN,Kota Palopo,7.78,11.09,13404,71.18,78.91,8.2,63.65,94.64,97.36
SULAWESI SELATAN,Kota Parepare,5.41,10.66,14027,71.57,78.54,5.6,63.62,95.46,98.24
SULAWESI SELATAN,Luwu,12.49,8.48,10308,70.75,71.36,3.85,67.74,89.02,84.81
SULAWESI SELATAN,Luwu Timur,6.81,8.92,13058,70.94,73.92,4.48,71.51,93.19,86.52
SULAWESI SELATAN,Luwu Utara,13.22,7.87,12105,69.03,70.51,2.81,72.23,93.07,90.53
SULAWESI SELATAN,Maros,9.43,8.02,11403,69.28,71,5.04,61.37,92.73,87.62
SULAWESI SELATAN,Pinrang,8.79,8.04,12102,70.15,71.97,2.79,57.72,92.06,92.05
SULAWESI SELATAN,Sidenreng Rappang,5.11,8.04,12379,70.41,72.06,3.56,57.63,94.13,97.95
SULAWESI SELATAN,Sinjai,8.8,7.79,9726,67.68,68.33,1.8,63.34,89.19,89.22
SULAWESI SELATAN,Soppeng,7.49,7.96,9756,70.2,69.7,3.4,61.9,94.99,92.7
SULAWESI SELATAN,Takalar,8.25,7.64,10746,67.64,68.31,2.63,64.46,91.98,96
SULAWESI SELATAN,Tana Toraja,12.18,8.52,7584,73.72,69.88,2.32,85.11,85.42,73.6
SULAWESI SELATAN,Toraja Utara,11.65,8.26,8494,73.65,70.36,1.99,68.84,89.81,77.22
SULAWESI SELATAN,Wajo,6.57,7.16,12729,67.82,70.26,2.54,61.13,94.05,86.32
SULAWESI TENGAH,Banggai,7.33,8.54,9963,70.88,71.08,3.09,73.48,81.07,95.59
SULAWESI TENGAH,Banggai Kepulauan,13.44,8.46,7712,66.73,66.08,1.48,74.63,75.05,95.88
SULAWESI TENGAH,Banggai Laut,13.17,8.63,8037,65.81,66.22,3.6,58.37,63.18,88.45
SULAWESI TENGAH,Buol,12.85,9.08,8176,69.32,68.72,3.07,69.18,73.48,85.03
SULAWESI TENGAH,Donggala,16.3,7.98,8303,67.61,66.25,2.84,72.03,64.4,79.52
SULAWESI TENGAH,Kota Palu,6.63,11.73,15162,71.2,82.02,6.15,64.68,83.72,96.69
SULAWESI TENGAH,Morowali,12.58,9.35,11291,69.23,72.55,3.2,60.74,76.58,91.91
SULAWESI TENGAH,Morowali Utara,12.97,8.75,9242,69.77,68.97,2.25,69.93,86.69,76.38
SULAWESI TENGAH,Parigi Moutong,14.63,7.77,10063,64.35,66.26,1.71,74.05,67.54,78.18
SULAWESI TENGAH,Poso,15.18,9.52,9218,71.19,71.93,1.68,72.41,91.47,91.87
SULAWESI TENGAH,Sigi,12.3,8.84,8498,70.15,69.05,3.02,72.69,71.82,80.18
SULAWESI TENGAH,Tojo Una-Una,16.12,8.41,8096,66.08,65.54,3.05,68.47,68.35,95.13
SULAWESI TENGAH,Toli-Toli,12.74,8.76,8191,66.41,66.76,3.31,64.7,64.45,76.02
SULAWESI TENGGARA,Bombana,10.26,8.05,8680,69.2,66.81,1.47,68.3,82.29,98.72
SULAWESI TENGGARA,Buton,13.27,8.25,7594,68.46,67.23,2.99,77.34,82.89,98.53
SULAWESI TENGGARA,Buton Selatan,14.41,7.64,7476,67.76,65.44,4.18,71.88,86.47,98.41
SULAWESI TENGGARA,Buton Tengah,14.9,7.33,7670,67.78,65.29,2.63,68.07,83.35,96.07
SULAWESI TENGGARA,Buton Utara,14.26,9.11,7935,70.96,69,2.1,81.23,69.69,95.72
SULAWESI TENGGARA,Kolaka,11.51,9.06,12639,71.3,73.98,4.17,64.49,89.12,97.68
SULAWESI TENGGARA,Kolaka Timur,13.57,8.15,8155,72.9,68.73,2.22,69.51,91.32,97.61
SULAWESI TENGGARA,Kolaka Utara,13.08,8.54,10721,70.4,70.39,2.86,77.18,91.09,92.27
SULAWESI TENGGARA,Konawe,12.75,9.3,10552,70.38,72.04,2.73,66.81,88.02,86.26
SULAWESI TENGGARA,Konawe Kepulauan,16.15,9.43,7192,68.46,66.69,1.52,68.65,74.52,89.01
SULAWESI TENGGARA,Konawe Selatan,11.08,8.27,9347,70.95,69.36,2.95,69.46,87.92,89.75
SULAWESI TENGGARA,Konawe Utara,13.72,9.53,9666,69.59,71.1,2.01,71.64,86.56,89.02
SULAWESI TENGGARA,Kota Baubau,7.31,10.92,10835,71.36,76.67,5.39,61.14,91.69,100
SULAWESI TENGGARA,Kota Kendari,4.57,12.52,14765,73.93,84.51,5.23,65.48,94.71,95.27
SULAWESI TENGGARA,Muna,13.41,8.52,8328,70.47,69.61,3.11,66.41,80.9,96.1
SULAWESI TENGGARA,Muna Barat,13.85,7.6,7668,70.39,66.21,2.4,82.12,67.67,96.05
SULAWESI TENGGARA,Wakatobi,14.55,8.5,9758,70.59,70.85,3.53,73.39,86.71,97.38
SULAWESI UTARA,Bolaang Mongondow,7.04,8.17,10614,69.78,68.95,4.96,62.17,62.62,92.94
SULAWESI UTARA,Bolaang Mongondow Selatan,11.92,8.16,9238,64.74,65.9,2.75,65.02,61.92,87.74
SULAWESI UTARA,Bolaang Mongondow Timur,5.85,8.09,9390,68.24,67.21,6.19,67.64,66.06,91.4
SULAWESI UTARA,Bolaang Mongondow Utara,7.31,8.57,9285,68.05,68.06,5.1,64.79,70.21,91.02
SULAWESI UTARA,Kepulauan Sangihe,10.5,8.49,11631,70.51,71.63,2.87,66.11,76.6,93.56
SULAWESI UTARA,Kepulauan Talaud,8.25,9.73,8869,70.57,70.43,3.67,74.2,85.99,86.55
SULAWESI UTARA,Kota Bitung,6.2,9.91,12665,71.38,74.7,8.56,61.88,95.76,98.14
SULAWESI UTARA,Kota Kotamobagu,5.19,10.32,11151,70.98,73.96,6.59,65.87,69.88,97.02
SULAWESI UTARA,Kota Manado,5.85,11.43,14399,72.18,79.66,10.47,59.51,86.76,95.69
SULAWESI UTARA,Kota Tomohon,5.26,10.75,12268,72.44,77.44,8.11,63.41,92.56,99.18
SULAWESI UTARA,Minahasa,7.05,9.82,12690,71.49,76.18,7,64.99,90.18,91.68
SULAWESI UTARA,Minahasa Selatan,9,9.19,11717,70.35,72.89,5.77,60.39,62.15,96.53
SULAWESI UTARA,Minahasa Tenggara,11.78,9.12,10753,70.52,71.48,3.43,67.45,73.81,85.71
SULAWESI UTARA,Minahasa Utara,6.6,10.18,11593,71.68,74.69,7.09,58.82,80.39,95.84
SULAWESI UTARA,Siau Tagulandang Biaro,8.2,9.21,8401,71.27,68.94,2.96,62.2,86.48,98.44
SUMATERA BARAT,Agam,6.22,8.98,10171,72.89,73.29,4.93,73.05,74.84,92.8
SUMATERA BARAT,Dharmasraya,5.56,8.56,11650,71.9,72.3,6.23,71.65,81.09,69.61
SUMATERA BARAT,Kepulauan Mentawai,13.97,7.48,6567,64.93,62.19,1.39,78.25,69.09,63.21
SUMATERA BARAT,Kota Bukittinggi,4.46,11.63,13633,74.82,81.42,4.9,64.43,85.09,98.56
SUMATERA BARAT,Kota Padang,4.26,11.6,14889,73.93,83.29,11.69,62.81,76.1,97.93
SUMATERA BARAT,Kota Padang Panjang,5.14,11.92,11153,73.02,78.78,4.84,64.02,77.42,98.09
SUMATERA BARAT,Kota Pariaman,4.13,10.78,13150,70.67,77.65,5.19,67.76,82.91,95.46
SUMATERA BARAT,Kota Payakumbuh,5.66,10.82,13687,74.14,79.53,5.16,70.06,87.1,98.83
SUMATERA BARAT,Kota Sawah Lunto,2.28,10.43,10537,70.4,73.73,5,70.85,86.86,92.75
SUMATERA BARAT,Kota Solok,3.02,11.35,12515,74.06,79.23,3.9,69.46,92.47,97.17
SUMATERA BARAT,Lima Puluh Kota,6.59,8.08,10035,70.08,70.28,3.72,74.54,64.19,71.33
SUMATERA BARAT,Padang Pariaman,6.25,8.16,11159,69.34,71.63,6.6,70.44,59.76,88.22
SUMATERA BARAT,Pasaman,6.85,8.11,8619,67.96,67.41,5.38,74.97,42.81,75.77
SUMATERA BARAT,Pasaman Barat,6.93,8.55,9381,68.25,69.57,6.33,63.88,68.98,77.76
SUMATERA BARAT,Pesisir Selatan,7.11,8.43,9686,71.25,70.84,4.61,66.95,73.68,85.83
SUMATERA BARAT,Sijunjung,6,8.3,10582,66.7,68.69,4.87,68.17,74.14,70.27
SUMATERA BARAT,Solok,7.12,7.89,10539,69.19,70.02,5.89,74.44,57.28,81.02
SUMATERA BARAT,Solok Selatan,6.51,8.41,10560,68.38,69.71,3.71,77.99,55.33,77.46
SUMATERA BARAT,Tanah Datar,4.26,8.9,10695,70.49,73.29,5.91,70.9,57.49,87.8
SUMATERA SELATAN,Banyu Asin,10,7.45,10299,69.43,67.93,3.39,64.32,72.8,78.25
SUMATERA SELATAN,Empat Lawang,12.03,7.65,9838,65.45,66,3.59,71.17,66.93,64.85
SUMATERA SELATAN,Kota Lubuklinggau,12.68,9.91,13832,69.82,75.53,5.94,67.93,87.64,96.41
SUMATERA SELATAN,Kota Pagar Alam,8.47,9.41,9330,67.29,69.6,3.62,73.1,62.11,85.76
SUMATERA SELATAN,Kota Palembang,10.48,10.91,15168,71.49,79.47,8.2,64.48,92.66,97.96
SUMATERA SELATAN,Kota Prabumulih,11.28,10.2,13106,70.87,75.52,5.25,71.72,97.61,98.42
SUMATERA SELATAN,Lahat,15.61,8.53,10296,66.52,68.4,4.02,70.73,70.35,84.35
SUMATERA SELATAN,Muara Enim,11.12,7.9,11304,69.38,69.43,4.12,72.53,84.16,91.51
SUMATERA SELATAN,Musi Banyuasin,15.19,7.65,10453,69.19,68.6,4.4,71.12,80.71,81.75
SUMATERA SELATAN,Musi Rawas,13.34,7.55,10107,68.62,67.78,1.92,69.06,73.69,93.22
SUMATERA SELATAN,Musi Rawas Utara,18.45,7.26,10283,66.08,65.74,5.29,73.06,65.73,87.13
SUMATERA SELATAN,Ogan Ilir,12.33,7.91,11069,65.98,67.96,2.15,81.1,71.55,71.88
SUMATERA SELATAN,Ogan Komering Ilir,13.23,7.07,11251,69.01,68.02,3.75,68.79,63.95,78.52
SUMATERA SELATAN,Ogan Komering Ulu,11.61,8.73,10499,68.55,70.24,4.39,69.9,84.39,82.76
SUMATERA SELATAN,Ogan Komering Ulu Selatan,10.56,7.86,8895,67.36,65.87,1.83,72.99,57.54,76.52
SUMATERA SELATAN,Ogan Komering Ulu Timur,10.05,7.8,11759,69.48,70.23,4.79,67.93,87.48,94.15
SUMATERA SELATAN,Penukal Abab Lematang Ilir,11.76,7.06,8680,68.65,65.75,4.31,79.82,89.4,85.78
SUMATERA UTARA,Asahan,8.64,8.82,11515,68.73,71.13,6.26,65.68,89.33,92.92
SUMATERA UTARA,Batu Bara,11.53,8.26,10755,67.55,69.51,6.21,73.5,88.25,96.96
SUMATERA UTARA,Dairi,7.88,9.72,10740,69.64,72.56,0.88,85.01,94.14,96.68
SUMATERA UTARA,Deli Serdang,3.62,10.27,12657,72.07,76.19,8.79,66.84,91.13,97.38
SUMATERA UTARA,Humbang Hasundutan,8.86,10,8250,70.02,70.32,0.42,85.83,93.9,90.51
SUMATERA UTARA,Karo,8.17,10.02,12554,72.03,75.36,2.71,85.11,85.35,91.54
SUMATERA UTARA,Kota Binjai,5.1,11.18,11358,72.79,76.95,6.36,58.61,95.53,98.79
SUMATERA UTARA,Kota Gunungsitoli,14.81,8.64,8434,71.71,70.23,3.65,66.11,50.29,77.18
SUMATERA UTARA,Kota Medan,8.07,11.5,15503,73.58,81.76,8.89,62.23,92.18,98.53
SUMATERA UTARA,Kota Padangsidimpuan,6.89,11.11,11337,69.84,76.05,7.76,64.41,45.65,63.5
SUMATERA UTARA,Kota Pematang Siantar,7.88,11.31,12744,74.25,79.7,9.36,65.27,92.33,99.84
SUMATERA UTARA,Kota Sibolga,11.47,10.43,12135,69.77,74.74,7.05,65.85,42.05,97.69
SUMATERA UTARA,Kota Tanjung Balai,12.45,9.55,11589,63.87,69.86,0.42,70.77,93.51,87.59
SUMATERA UTARA,Kota Tebing Tinggi,9.59,10.65,13144,71.29,76.17,6.39,77.26,90.59,99.71
SUMATERA UTARA,Labuhan Batu,8.26,9.4,11474,70.37,72.92,6.9,63.51,80.36,93.68
SUMATERA UTARA,Labuhan Batu Selatan,8.09,8.92,11751,69.16,72.16,3.15,66.76,85.13,91.3
SUMATERA UTARA,Labuhan Batu Utara,9.09,8.64,12258,69.91,72.77,3.75,65.31,81.82,93.04
SUMATERA UTARA,Langkat,9.49,8.68,11439,69.39,71.86,6.88,71.51,86.5,92.66
SUMATERA UTARA,Mandailing Natal,8.92,8.76,10061,63.05,68.05,7.64,71.15,39.64,75.48
SUMATERA UTARA,Nias,16,5.88,7196,70.06,63.69,2.81,84.5,28.17,51.59
SUMATERA UTARA,Nias Barat,24.75,6.97,6152,69.43,62.93,0.53,84.63,39.95,70.74
SUMATERA UTARA,Nias Selatan,16.48,6.23,7195,69.21,63.17,3.69,78.54,12.23,66.71
SUMATERA UTARA,Nias Utara,23.4,6.78,6575,69.9,63.75,2.59,77.75,41.19,69.77
SUMATERA UTARA,Padang Lawas,8.05,9.31,9207,67.43,69.58,5.9,75.1,65.52,83.67
SUMATERA UTARA,Padang Lawas Utara,8.94,9.46,10447,67.53,70.93,4.31,70.33,71.03,82.13
SUMATERA UTARA,Pakpak Bharat,8.66,9.39,8558,66.44,68.85,0.26,86.2,88.98,81.87
SUMATERA UTARA,Samosir,11.77,9.46,8991,71.82,71.67,1.16,83.57,89.48,74.7
SUMATERA UTARA,Serdang Bedagai,7.82,8.71,11499,69.21,71.21,4.98,67.59,91.98,99.32
SUMATERA UTARA,Simalungun,8.26,9.63,11524,71.78,73.77,5.51,69.91,91.25,98.66
SUMATERA UTARA,Tapanuli Selatan,8.07,9.34,11727,65.28,70.92,3.65,74.53,52.9,73.17
SUMATERA UTARA,Tapanuli Tengah,11.71,8.86,10495,67.58,70.31,7.97,76.51,58.52,79.28
SUMATERA UTARA,Tapanuli Utara,8.93,10,11892,69.16,74.14,1.07,81.07,87.76,92.89
